ACCE_ABSORB_COST	تكاليف الدمج: %d
ACCE_ALREADY_REGISTER	تم استعمال هذا البند من قبل.
ACCE_DEL_ABSORDITEM	هل تريد استيعاب الشيء وبالتالي تدميره؟
ACCE_DEL_SERVEITEM	إذا ما فشلت عملية المزج، فإن الوشاح 2 سيدمّر.
ACCE_DEL_SERVEITEM2	سيدمّر الوشاح 2 إذا ما فشلت عملية المزج.
ACCE_INITEM	اسحب الأشياء نحو النافذة.
ACCE_MAXGRADE	إن هذا الوشاح مُفصّل.
ACCE_MAX_DRAINRATE	قيمة الاستيعاب القصوى
ACCE_NOTABSORBITEM	لا يمكنك استعمال أسلحة أو دروع استوعبت من قبل.
ACCE_NOT_SEALITEM	لا يمكنك استعمال بند مُرتبط بالروح.
ACCE_NOT_USINGITEM	لا يمكنك مزج بُند مُزوّد.
ACCE_NOT_WINDOWOPEN	لا يمكنك استعمال البند، طالما أن نافذة المزج مفتوحة.
ACCE_POSSIBLE_ACCE	لا يمكنك استعمال شيء آخر غير الأوشحة.
ACCE_POSSIBLE_ACCEITEM	لا يمكنك استخراج العلاوات من أشياء أخرى غير الأسلحة والدروع.
AFF_LOVE_POINT	نقاط الحب: %d%%
ALIGNMENT_NAME	نقاط الترتيب:
alsoExportToCharset	
ATTACK_ERROR_UNKNOWN	خطأ هجومي مجهول:  %s
ATTENDANCE_REWARD_QUESTION	هل ترغب في الحصول على مكافأتك الآن؟
ATTR_6TH_7TH_ADD_QUESTION1	لا يمكنك استخدام هذا البند أثناء إضافة علاوة.
ATTR_6TH_7TH_ADD_QUESTION2	هل أنت متأكد أنك تريد إضافة العلاوة؟
ATTR_6TH_7TH_CHANGE_FAIL	لا يمكنك تغيير العلاوة.
ATTR_6TH_7TH_DESC1	أ. يجب عليك وضع المواد اللازمة لإضافة العلاوة 6 و 7.
ATTR_6TH_7TH_DESC2	ب. سترفع كل شظية معدل النجاح بنسبة 2%.
ATTR_6TH_7TH_DESC3	ج. إستخدم إضافات لزيادة معدل النجاح.
ATTR_6TH_7TH_DESC4	د. ستحتاج عملية إضافة العلاوة إلى 24 ساعة. سيحتفظ لاعب الحاسوب بالبند المراد إضافة العلاوة إليه. بمجرد إكتمال العملية، سمكنك إستعادة البند مجددا.
ATTR_6TH_7TH_POSSIBILITY	يمكنك إضافة علاوة إضافية.
